issue.name_english,regulation.name_english
Arsenic Remediation in Drinking Water,Safe Drinking Water Act - Arsenic Rule
"Biosolid/Sludge Management, Use, or Disposal",Standards for the Use or Disposal of Sewage Sludge
Emissions Control for Oil and Natural Gas Processing,Standards of Performance for New Stationary Sources: Oil and Gas
Emissions Control from Large Marine Diesel Engines,Control of Emissions from New and In-Use Marine Engines and Vessels
Groundwater Remediation,Clean Water Act
Groundwater Remediation,"Comprehensive Environmental Response, Compensation and Liability Act"
Mercury Emissions Control from Power Plants,Mercury and Air Toxics Standards
Municipal Landfill Standards,Standards of Performance for New Stationary Sources: Landfills and Municipal Waste
Municipal Nutrient Removal,Clean Water Act
Non-road Diesel Emissions Control,Non-road Exhaust Emissions Standards
NOx Emission Controls for Power Plants,Cross-State Air Pollution Rule (CSAPR)
Secondary or Advanced Wastewater Treatment,Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES)
Universal Waste,Standards for Universal Waste Management
