regulation.name_english,solution.name_english
Clean Water Act,Air Sparging
Clean Water Act,Anaerobic/anoxic/oxic (A2O)
Clean Water Act,Anoxic zone (following aeration)
Clean Water Act,Anoxic/oxic (A/O)
Clean Water Act,Biological aerated filtration
Clean Water Act,Bioremediation
Clean Water Act,Chemical Precipitation for Nitrogen and Phosphorus
Clean Water Act,Chemical Precipitation for Phosphorus
Clean Water Act,Chemical Treatment
Clean Water Act,Denitrification Filters for Nitrogen
Clean Water Act,Denitrification Filters for Nitrogen and Phosphorus
Clean Water Act,Enhanced biological phosphorus removal (EBPR) with volatile fatty acids (VFA) addition and filters
Clean Water Act,Filtration
Clean Water Act,Flushing
Clean Water Act,In-Well Air Stripping
Clean Water Act,Integrated fixed-film activated sludge (IFAS)
Clean Water Act,Membrane bioreactor (MBR)
Clean Water Act,Membrane Filter
Clean Water Act,MLE/3-stage Westbank
Clean Water Act,Moving bed biofilm reactor (MBBR)
Clean Water Act,Multi-Phase Extraction
Clean Water Act,Permeable Reactive Barrier
Clean Water Act,Phytoremediation
Clean Water Act,Pump and Treat
Clean Water Act,Related Technologies for Clean Water Act: Groundwater Remediation
Clean Water Act,Related Technologies for Clean Water Act: Municipal Nutrient Removal
Clean Water Act,Sequencing batch reactor (SBR)/cyclic activated sludge
Clean Water Act,Step-feed activated sludge (AS)
Clean Water Act,Step-feed with selector
Clean Water Act,Tertiary clarifier/tertiary filter
"Comprehensive Environmental Response, Compensation and Liability Act",Air Sparging
"Comprehensive Environmental Response, Compensation and Liability Act",Bioremediation
"Comprehensive Environmental Response, Compensation and Liability Act",Chemical Treatment
"Comprehensive Environmental Response, Compensation and Liability Act",Flushing
"Comprehensive Environmental Response, Compensation and Liability Act",In-Well Air Stripping
"Comprehensive Environmental Response, Compensation and Liability Act",Multi-Phase Extraction
"Comprehensive Environmental Response, Compensation and Liability Act",Permeable Reactive Barrier
"Comprehensive Environmental Response, Compensation and Liability Act",Phytoremediation
"Comprehensive Environmental Response, Compensation and Liability Act",Pump and Treat
"Comprehensive Environmental Response, Compensation and Liability Act",Related Technologies for CERCLA: Groundwater Remediation
Control of Emissions from New and In-Use Marine Engines and Vessels,Fuel Switching - Low Sulphur Diesel
Control of Emissions from New and In-Use Marine Engines and Vessels,Fuel Switching - Natural Gas
Control of Emissions from New and In-Use Marine Engines and Vessels,Fuel Switching - SOx Scrubbers
Control of Emissions from New and In-Use Marine Engines and Vessels,NOx - Exhaust Gas Recirculation
Control of Emissions from New and In-Use Marine Engines and Vessels,NOx - Natural Gas Engine
Control of Emissions from New and In-Use Marine Engines and Vessels,NOx - Selective Catalytic Reduction
Control of Emissions from New and In-Use Marine Engines and Vessels,NOx - Water Injection
Control of Emissions from New and In-Use Marine Engines and Vessels,Related Technologies for Marine Diesel Engine Emissions Control: Large Marine Diesel Engines
Cross-State Air Pollution Rule (CSAPR),Low NOx Burners
Cross-State Air Pollution Rule (CSAPR),Related Technologies for CSAPR: NOx Emissions Control from Power Plants
Cross-State Air Pollution Rule (CSAPR),Selective Catalytic Reduction
Cross-State Air Pollution Rule (CSAPR),Selective Non-Catalytic Reduction
Mercury and Air Toxics Standards,Acid Gases - Dry Sorbent Injection
Mercury and Air Toxics Standards,Acid Gases - Dry Sorbent Injection with Electrostatic Precipitators
Mercury and Air Toxics Standards,Acid Gases - Dry Sorbent Injection with Fabric Filters
Mercury and Air Toxics Standards,Acid Gases - Flue-gas Desulfurization
Mercury and Air Toxics Standards,"Dioxins & Furans - Work Practice Standard (inspection, adjustment, and/or maintenance and repairs to ensure optimal combustion)"
Mercury and Air Toxics Standards,Mercury - Activated Carbon Injection
Mercury and Air Toxics Standards,Mercury - Activated Carbon Injection with Fabric Filter
Mercury and Air Toxics Standards,Mercury - Electrostatic Precipitators
Mercury and Air Toxics Standards,Mercury - Flue-gas Desulfurization
Mercury and Air Toxics Standards,Mercury - Selective Catalytic Reduction
Mercury and Air Toxics Standards,"Non-Mercury Metals - Fabric Filter, Electrostatic Precipitators"
Mercury and Air Toxics Standards,Related Technologies for Mercury and Air Toxics Standards: Mercury Emissions Control from Power Plants
Mercury and Air Toxics Standards,Sulphur Dioxide - Dry Sorbent Injection
Mercury and Air Toxics Standards,Sulphur Dioxide - Flue-gas Desulphurization
Non-road Exhaust Emissions Standards,Diesel Oxidation Catalysts
Non-road Exhaust Emissions Standards,Diesel Particulate Filters
Non-road Exhaust Emissions Standards,NOx - Selective Catalytic Reduction
Non-road Exhaust Emissions Standards,Related Technologies for Non-road Exhaust Emission Standards: Non-road Diesel Emissions Control
Safe Drinking Water Act - Arsenic Rule,Adsorption Processes
Safe Drinking Water Act - Arsenic Rule,Ion Exchange Processes
Safe Drinking Water Act - Arsenic Rule,Membrane Processes
Safe Drinking Water Act - Arsenic Rule,Point-of-Use (POU) Devices
Safe Drinking Water Act - Arsenic Rule,Precipitative Processes
Safe Drinking Water Act - Arsenic Rule,Related Technologies for Safe Water Drinking Act - Arsenic Rule: Arsenic Remediation
Safe Drinking Water Act - Arsenic Rule,Residual Management Processes
Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES),Biological Treatment Processes
Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES),In-plant Wet Weather Management Processes
Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES),Physical and Chemical Treatment Processes
Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES),Process Monitoring Technologies
Secondary Treatment Standards under the National Pollutant Discharge Elimination System (NPDES),Related Technologies for NPDES: Secondary or Advanced Wastewater Treatment Standards
Standards for the Use or Disposal of Sewage Sludge,Conditioning Technology or Processes
Standards for the Use or Disposal of Sewage Sludge,Dewatering Technology or Processes
Standards for the Use or Disposal of Sewage Sludge,Drying Technology or Processes
Standards for the Use or Disposal of Sewage Sludge,Re-use or Disposal Processes
Standards for the Use or Disposal of Sewage Sludge,Related Technologies for Standards for Use or Disposal of Sewage Sludge: Biosolid/Sludge Management
Standards for the Use or Disposal of Sewage Sludge,Stabilization Technology or Processes
Standards for the Use or Disposal of Sewage Sludge,Thermal Conversion Technology or Processes
Standards for the Use or Disposal of Sewage Sludge,Thickening Technology or Processes
Standards for Universal Waste Management,CRT Recycling Technology
Standards for Universal Waste Management,E-Waste Recycling Technology
Standards for Universal Waste Management,Lamp Crushing Systems
Standards for Universal Waste Management,Mercury Recycling Technology
Standards for Universal Waste Management,Related Technologies for Standards for Universal Waste Management: Universal Waste
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Bioreactors
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Controlled Injection Systems
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Landfill Control Systems
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Landfill Covers
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Landfill Gas Air Monitoring
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Landfill Gas Collection
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Landfill Groundwater Monitoring
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Leachate Collection Systems
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Liners
Standards of Performance for New Stationary Sources: Landfills and Municipal Waste,Related Technologies for NSPS: Municipal Landfill Standards
Standards of Performance for New Stationary Sources: Oil and Gas,Absorption Towers
Standards of Performance for New Stationary Sources: Oil and Gas,Flash Tanks
Standards of Performance for New Stationary Sources: Oil and Gas,Glycol Dehydrators
Standards of Performance for New Stationary Sources: Oil and Gas,Related Technologies for NSPS: Oil and Gas Processing Emissions Control
